area,perimeter,major_axis_length,minor_axis_length,eccentricity,convex_area,extent,variety
13078,452.990997,183.978973,91.69001,0.866963,13385,0.732743,osmancik
15381,503.57901,211.88353,93.309746,0.89781,15749,0.740325,cammeo
11280,420.101013,170.670364,85.497368,0.865476,11582,0.643175,osmancik
12408,454.390991,191.89653,83.033478,0.901538,12664,0.583906,osmancik
14131,490.700989,206.926666,88.28405,0.90442,14519,0.752931,cammeo
12573,444.960999,180.371506,89.742386,0.86744,12827,0.662923,osmancik
13870,484.127014,203.418259,88.503235,0.900392,14266,0.756518,cammeo
8328,369.738007,152.565857,70.568604,0.886596,8579,0.584421,osmancik
12745,453.035004,187.005844,87.66729,0.883307,13040,0.605176,cammeo
11675,429.130005,173.418198,86.834061,0.865609,11888,0.737337,osmancik
9876,384.459991,156.164764,81.238869,0.854037,9999,0.632347,osmancik
11765,429.292999,175.06308,86.7286,0.868657,11969,0.611169,osmancik
10880,394.644989,153.794815,90.988182,0.806216,11057,0.747766,osmancik
13109,457.170013,195.070419,86.007507,0.897554,13271,0.599269,osmancik
14805,499.636993,214.28244,89.174088,0.909295,15090,0.576788,cammeo
15118,514.96698,224.1866,87.692238,0.920324,15454,0.654119,cammeo
13520,471.528992,195.306152,89.440559,0.888978,13950,0.570127,cammeo
11494,433.058014,171.582458,86.878693,0.862335,11858,0.759382,osmancik
12008,433.234009,184.127411,83.706039,0.890691,12129,0.644033,osmancik
10796,413.420013,170.781647,80.996887,0.880379,10980,0.623038,cammeo
11848,432.368988,178.3508,86.11731,0.875701,12045,0.600294,osmancik
13263,474.497986,197.842896,86.686317,0.898898,13607,0.560093,cammeo
12124,446.440002,188.975342,82.716797,0.899115,12336,0.740352,osmancik
10928,408.863007,168.128723,83.064178,0.869433,11113,0.626857,osmancik
14789,492.951996,206.708679,92.603569,0.894038,15069,0.747826,cammeo
10272,413.691986,175.919632,74.964355,0.904663,10462,0.594789,osmancik
13681,485.412994,205.006439,86.487671,0.906653,14146,0.559894,cammeo
12331,431.364014,177.130478,89.424965,0.863205,12502,0.747787,osmancik
15276,506.684998,212.135681,93.063751,0.898634,15574,0.579229,cammeo
15071,494.13501,200.594833,97.393288,0.874224,15575,0.689212,cammeo
12802,457.661011,192.062973,85.541496,0.89534,13001,0.756351,osmancik
12720,472.234009,201.640854,82.228416,0.913073,13352,0.74508,cammeo
14608,504.306,210.269928,90.166519,0.903393,15125,0.63513,cammeo
13806,490.51001,209.72084,85.131241,0.913906,14284,0.795873,cammeo
12538,452.660004,188.805283,86.109718,0.88994,12846,0.684165,osmancik
11297,416.679993,165.359207,88.236748,0.845733,11535,0.629289,osmancik
12860,469.55899,197.661026,84.117111,0.904929,13269,0.56453,cammeo
10231,404.364014,159.639267,82.993828,0.854237,10640,0.629988,osmancik
14053,497.052002,216.191864,84.159935,0.921118,14416,0.808387,cammeo
12256,470.108002,207.980057,75.714905,0.93138,12541,0.738313,cammeo
9070,375.093994,156.984894,74.229424,0.881146,9233,0.737398,osmancik
10534,409.339996,163.875931,83.273697,0.861268,10899,0.726132,osmancik
14621,501.825012,210.916489,89.629929,0.905215,15175,0.689085,cammeo
11443,427.230988,176.981979,82.917595,0.883459,11618,0.628978,osmancik
12627,453.519012,191.81189,84.540817,0.897631,12830,0.726107,osmancik
10683,408.282013,170.345169,80.44706,0.88146,10845,0.688338,osmancik
10584,437.048004,188.441422,72.548088,0.922921,10936,0.558051,osmancik
10943,411.385986,171.017929,82.059959,0.87736,11155,0.624779,osmancik
10903,419.653992,169.51709,83.220016,0.871202,11232,0.697837,osmancik
12131,444.925995,183.838089,85.059273,0.886522,12419,0.784163,osmancik
10958,422.880005,172.134323,82.237244,0.878496,11351,0.641983,osmancik
13737,484.38501,209.543518,84.165749,0.915788,13944,0.605208,cammeo
15551,515.783997,215.089737,93.750793,0.90001,15908,0.565655,cammeo
14641,505.002014,211.583649,90.033432,0.904948,15034,0.629558,cammeo
9630,396.893005,163.846542,75.775734,0.88663,9935,0.725151,osmancik
15303,505.928009,209.619919,94.157005,0.893441,15746,0.624612,cammeo
13375,474.087006,198.768692,86.68679,0.899889,13768,0.696324,cammeo
11240,426.644012,175.594116,82.956589,0.881366,11427,0.606518,osmancik
14768,499.877014,210.558807,90.474182,0.902978,15158,0.583116,cammeo
10005,394.098999,161.262894,79.957146,0.868426,10220,0.71875,osmancik
15231,525.578979,229.749878,85.093788,0.928882,15617,0.572896,cammeo
12994,460.945007,195.2211,86.211723,0.897207,13196,0.815387,osmancik
12324,449.152008,190.392487,83.205139,0.899452,12595,0.767134,cammeo
15140,502.553009,213.895615,90.897377,0.905212,15491,0.758213,cammeo
9561,386.084991,159.970535,76.796448,0.877232,9708,0.700953,osmancik
12263,444.95401,180.220856,87.545288,0.874089,12478,0.604506,osmancik
11530,458.712006,197.875504,75.382019,0.924593,11918,0.700316,cammeo
13169,474.837006,201.380112,84.487091,0.907737,13505,0.547113,cammeo
11659,429.083008,171.014236,87.788902,0.858184,12017,0.630898,osmancik
11062,410.096008,165.469467,86.055389,0.854125,11213,0.630817,osmancik
11809,455.083008,185.420105,83.613762,0.892553,12318,0.648846,cammeo
9330,391.165985,161.425415,74.863876,0.885957,9624,0.576353,osmancik
16253,525.481995,218.527557,95.911842,0.898536,16690,0.567969,cammeo
11742,437.903015,182.257065,83.004181,0.890275,11974,0.588896,osmancik
11490,445.686005,179.861755,83.725731,0.885048,12020,0.568925,osmancik
13687,481.744995,201.174576,87.957176,0.899355,13979,0.698316,cammeo
10847,417.924011,170.366791,82.473007,0.875018,11107,0.746319,osmancik
11242,418.645996,172.529907,83.848625,0.873962,11409,0.648889,osmancik
14400,481.506012,193.782959,96.51619,0.867141,14876,0.683891,cammeo
12423,436.493011,180.121017,88.617111,0.870603,12567,0.662242,osmancik
12748,461.888,190.707993,86.645065,0.890832,13158,0.786331,osmancik
14138,490.834015,206.180847,89.367279,0.901182,14523,0.762567,cammeo
12110,448.839996,191.804276,80.654594,0.90729,12313,0.617857,osmancik
10483,419.015991,176.620102,76.324219,0.901808,10773,0.692862,osmancik
15009,507.416992,217.132996,88.924881,0.912292,15387,0.598588,cammeo
10873,408.489014,167.702026,83.421417,0.867499,11073,0.668121,osmancik
15137,494.605011,206.458527,93.99015,0.890364,15400,0.761725,cammeo
8968,390.490997,166.476944,69.36821,0.909052,9150,0.789715,osmancik
12120,441.0,180.376526,86.71608,0.876858,12479,0.642255,osmancik
15172,504.15799,213.22467,91.667061,0.902873,15477,0.622441,cammeo
12551,459.729004,197.682343,81.570282,0.910897,12741,0.818935,cammeo
13147,468.920013,199.227753,84.480804,0.905643,13431,0.68474,cammeo
10731,414.174988,170.210098,81.198944,0.878875,10922,0.593201,osmancik
16799,524.247009,218.34256,99.163177,0.890918,17283,0.62371,cammeo
